ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ARM,Armenia,Population,Persons,Millions,,3.221,3.214,3.212,3.211,3.214,3.218,3.221,3.227,3.234,3.25,3.263,3.274,3.281,3.287,3.294,3.301,3.307,3.314,3.32,3.327
AUS,Australia,"Gross domestic product, constant prices",National currency,Billions,,"1,051.19","1,078.73","1,121.27","1,155.47","1,202.71","1,240.36","1,273.63","1,331.40","1,367.15","1,388.26","1,419.45","1,456.09","1,508.34","1,545.00","1,585.53","1,628.39","1,676.41","1,726.21","1,777.64","1,831.70"
AUS,Australia,"Inflation, average consumer prices",Index,,,71.475,74.625,76.85,78.95,80.8,82.975,85.925,87.925,91.75,93.375,96.1,99.275,101.025,103.5,105.918,108.457,111.194,113.983,116.859,119.808
AUS,Australia,Unemployment rate,Percent of total labor force,,,6.267,6.767,6.375,5.925,5.383,5.05,4.775,4.367,4.242,5.575,5.217,5.083,5.225,5.658,6.175,6.2,5.9,5.5,5.5,5.5
AUS,Australia,Employment,Persons,Millions,,8.903,9.017,9.19,9.396,9.558,9.881,10.124,10.436,10.73,10.806,11.023,11.212,11.349,11.47,11.75,11.993,n/a,n/a,n/a,n/a
AUS,Australia,Population,Persons,Millions,,19.141,19.386,19.605,19.827,20.046,20.312,20.628,21.016,21.476,21.866,22.172,22.52,22.92,23.207,23.485,23.767,24.052,24.353,24.658,24.966
AUT,Austria,"Gross domestic product, constant prices",National currency,Billions,,225.655,227.59,231.444,233.449,239.494,245.243,254.243,263.665,267.452,257.231,261.781,269.201,271.545,272.495,277.108,281.946,286.568,290.682,294.865,298.979
AUT,Austria,"Inflation, average consumer prices",Index,,,91.157,93.248,94.833,96.063,97.936,100,101.69,103.93,107.28,107.71,109.53,113.42,116.34,118.803,120.942,122.998,125.089,127.215,129.378,131.578
AUT,Austria,Unemployment rate,Percent of total labor force,,,3.625,3.625,4.175,4.292,4.958,5.183,4.725,4.433,3.8,4.783,4.417,4.15,4.375,4.9,5,4.9,4.8,4.6,4.5,4.4
AUT,Austria,Employment,Persons,Millions,,3.134,3.148,3.155,3.185,3.199,3.23,3.281,3.344,3.389,3.339,3.36,3.422,3.465,3.483,3.5,3.528,n/a,n/a,n/a,n/a
AUT,Austria,Population,Persons,Millions,,8.012,8.042,8.082,8.118,8.169,8.225,8.268,8.301,8.337,8.363,8.388,8.421,8.466,8.484,8.52,8.556,8.594,8.628,8.662,8.697
AZE,Azerbaijan,"Gross domestic product, constant prices",National currency,Billions,,5.618,5.982,6.469,7.147,7.875,9.955,13.389,16.736,18.544,20.268,21.273,21.293,21.754,23.016,24.158,25.272,26.15,26.993,28.07,29.256
AZE,Azerbaijan,"Inflation, average consumer prices",Index,,,114.765,116.541,119.771,122.446,130.661,143.308,155.309,181.083,218.785,222.199,234.788,253.263,255.855,262.074,271.277,281.995,293.98,308.532,323.804,339.832
AZE,Azerbaijan,Unemployment rate,Percent of total labor force,,,n/a,n/a,n/a,9.665,8.387,7.625,6.829,6.545,6.072,6.048,6.048,6.048,6.048,6.048,6.048,6.048,6.048,6.048,6.048,6.048
AZE,Azerbaijan,Population,Persons,Millions,,8.033,8.114,8.191,8.269,8.349,8.447,8.553,8.666,8.78,8.897,8.998,9.111,9.235,9.309,9.383,9.459,9.534,9.61,9.687,9.765
BHS,The Bahamas,"Gross domestic product, constant prices",National currency,Billions,,7.158,7.346,7.545,7.449,7.515,7.77,7.966,8.081,7.893,7.563,7.638,7.765,7.907,8.055,8.241,8.47,8.709,8.926,9.146,9.357
BHS,The Bahamas,"Inflation, average consumer prices",Index,,,80.641,82.545,83.782,86.042,87.119,88.958,90.812,93.104,97.443,99.329,100.662,103.887,105.935,106.229,108.333,111.095,113.141,114.659,116.168,117.621
BHS,The Bahamas,Unemployment rate,Percent of total labor force,,,7,6.9,9.102,10.835,10.202,10.17,7.628,7.853,8.703,14.246,15.082,15.889,14.021,16.184,15.513,14.453,13.294,12.259,11.293,10.365
BHS,The Bahamas,Population,Persons,Millions,,0.303,0.307,0.312,0.316,0.321,0.325,0.329,0.333,0.337,0.341,0.345,0.348,0.352,0.356,0.36,0.364,0.368,0.372,0.377,0.381
BHR,Bahrain,"Gross domestic product, constant prices",National currency,Billions,,5.736,5.879,6.076,6.459,6.91,7.377,7.855,8.506,9.036,9.266,9.668,9.871,10.207,10.704,11.206,11.571,11.95,12.365,12.803,13.25
BHR,Bahrain,"Inflation, average consumer prices",Index,,,93.413,92.315,91.857,93.4,95.5,98,100,103.252,106.9,109.878,112.042,111.577,114.717,118.508,121.466,124.367,127.425,130.793,134.265,137.807
BHR,Bahrain,Unemployment rate,Percent of total labor force,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.7,4,3.6,4,3.9,4.348,4.037,4.266,4.25,4.244,4.235,4.235
BHR,Bahrain,Population,Persons,Millions,,0.67,0.68,0.7,0.71,0.72,0.734,0.749,0.764,0.779,1.039,1.107,1.129,1.151,1.174,1.198,1.222,1.246,1.271,1.296,1.322
BGD,Bangladesh,"Gross domestic product, constant prices",National currency,Billions,,"2,998.51","3,143.45","3,295.74","3,486.11","3,699.05","3,932.18","4,188.76","4,452.88","4,718.23","4,997.07","5,316.79","5,660.42","6,007.35","6,353.21","6,735.25","7,173.04","7,657.79","8,193.83","8,767.40","9,381.12"
BGD,Bangladesh,"Inflation, average consumer prices",Index,,,79.064,80.573,83.569,88.049,93.423,100,106.77,116.495,126.863,133.747,144.616,160.094,170.066,182.888,196.187,209.399,222.617,236.141,250.014,264.203
BGD,Bangladesh,Population,Persons,Millions,,132.383,134.73,137.006,139.186,141.235,143.135,144.869,146.457,147.97,149.503,151.125,152.862,154.695,156.298,157.918,159.554,161.207,162.877,164.565,166.27
BRB,Barbados,"Gross domestic product, constant prices",National currency,Billions,,0.976,0.951,0.958,0.977,0.991,1.03,1.089,1.107,1.111,1.065,1.068,1.076,1.076,1.069,1.056,1.065,1.082,1.102,1.127,1.154
BRB,Barbados,"Inflation, average consumer prices",Index,,,100,102.579,102.982,104.595,106.091,112.514,120.759,125.641,135.808,140.837,148.95,162.989,170.388,174.316,177.748,180.759,184.18,188.487,193.428,198.544
BRB,Barbados,Unemployment rate,Percent of total labor force,,,9.283,9.857,10.302,11.004,9.584,9.061,8.733,7.446,8.118,9.949,10.751,11.209,11.6,11.9,15.604,15.356,14.819,14.217,13.394,12.572
BRB,Barbados,Population,Persons,Millions,,0.269,0.27,0.271,0.272,0.273,0.273,0.274,0.275,0.275,0.276,0.277,0.277,0.278,0.279,0.279,0.28,0.281,0.281,0.282,0.283
BLR,Belarus,"Gross domestic product, constant prices",National currency,Billions,,"72,562.71","75,983.74","79,816.53","85,382.67","95,148.67","104,097.95","114,491.28","124,438.15","137,246.56","137,442.18","148,081.30","156,290.50","158,996.50","160,427.47","162,954.83","167,023.14","171,602.84","176,184.30","181,042.01","186,077.86"
BLR,Belarus,"Inflation, average consumer prices",Index,,,26.019,41.925,59.772,76.746,90.632,100,106.992,116.01,133.212,150.464,162.114,248.403,395.503,467.89,546.498,632.876,732.87,850.862,991.254,"1,154.81"
BLR,Belarus,Unemployment rate,Percent of total labor force,,,2.112,2.277,2.9,3.1,1.9,1.5,1.2,1,0.8,0.9,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
BLR,Belarus,Population,Persons,Millions,,9.99,9.957,9.9,9.831,9.763,9.697,9.63,9.579,9.542,9.514,9.5,9.481,9.465,9.464,9.417,9.37,9.323,9.276,9.23,9.184
BEL,Belgium,"Gross domestic product, constant prices",National currency,Billions,,315.986,318.538,322.869,325.473,336.13,342.016,351.135,361.26,364.819,354.602,362.84,369.258,368.755,369.672,374.182,378.721,383.597,388.786,394.19,400.022
BEL,Belgium,"Inflation, average consumer prices",Index,,,90.672,92.882,94.324,95.747,97.528,99.999,102.334,104.192,108.872,108.862,111.401,115.138,118.16,119.573,120.805,122.153,123.603,125.234,126.943,128.694
BEL,Belgium,Unemployment rate,Percent of total labor force,,,6.95,6.717,7.625,8.175,8.308,8.4,8.2,7.492,7.083,7.858,8.25,7.25,7.65,8.4,9.1,8.943,8.772,8.568,8.34,8.083
BEL,Belgium,Employment,Persons,Millions,,4.178,4.236,4.231,4.231,4.276,4.337,4.387,4.46,4.539,4.532,4.562,4.626,4.636,4.626,4.63,4.649,n/a,n/a,n/a,n/a
BEL,Belgium,Population,Persons,Millions,,10.239,10.263,10.31,10.356,10.396,10.446,10.511,10.585,10.667,10.753,10.84,11.001,11.095,11.162,11.191,11.239,11.31,11.38,11.451,11.522
BLZ,Belize,"Gross domestic product, constant prices",National currency,Billions,,1.664,1.748,1.837,2.008,2.102,2.164,2.266,2.293,2.382,2.389,2.462,2.514,2.615,2.657,2.723,2.791,2.861,2.932,3.006,3.081
BLZ,Belize,"Inflation, average consumer prices",Index,,,100,101.149,103.37,106.079,109.333,113.325,118.131,120.869,128.598,127.178,128.345,130.263,132.097,132.77,134.363,137.051,139.792,142.587,145.439,148.348
BLZ,Belize,Unemployment rate,Percent of total labor force,,,11.5,9.066,10,12.9,11.6,11,9.4,12.1,8.2,12.5,13.716,14.933,16.1,16.267,15.645,15.018,14.386,13.749,13.108,12.462
BLZ,Belize,Population,Persons,Millions,,0.25,0.257,0.265,0.274,0.283,0.292,0.3,0.314,0.322,0.327,0.332,0.337,0.343,0.349,0.355,0.361,0.367,0.374,0.38,0.387
BEN,Benin,"Gross domestic product, constant prices",National currency,Billions,,"1,679.70","1,783.78","1,863.01","1,936.61","1,996.31","2,053.51","2,130.56","2,229.13","2,340.99","2,403.22","2,464.55","2,546.50","2,683.82","2,835.32","2,990.72","3,146.37","3,297.49","3,456.01","3,622.35","3,796.95"
BEN,Benin,"Inflation, average consumer prices",Index,,,76.693,79.746,81.678,82.909,83.641,88.128,91.465,92.649,99.507,100.402,102.59,105.397,112.504,113.593,115.469,118.702,122.025,125.441,128.952,132.562
BEN,Benin,Population,Persons,Millions,,6.949,7.175,7.415,7.666,7.923,8.182,8.444,8.707,8.973,9.241,9.51,9.78,10.051,10.321,10.592,10.862,11.131,11.399,11.665,11.929
BTN,Bhutan,"Gross domestic product, constant prices",National currency,Billions,,19.248,20.545,22.5,24.552,26.209,27.919,29.868,33.623,37.238,39.369,43.041,47.375,50.458,52.956,56.321,60.577,65.534,71.181,79.351,85.713
BTN,Bhutan,"Inflation, average consumer prices",Index,,,508.188,528.515,543.985,555.233,578.79,606.748,636.616,669.913,712.252,763.014,799.837,868.241,956.011,"1,038.73","1,145.07","1,245.79","1,341.12","1,433.82","1,529.93","1,632.77"
BTN,Bhutan,Unemployment rate,Percent of total labor force,,,n/a,n/a,n/a,n/a,2.5,2.3,3.2,3.7,4,4,3.3,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2
BTN,Bhutan,Population,Persons,Millions,,0.571,0.588,0.606,0.624,0.642,0.659,0.675,0.689,0.701,0.714,0.726,0.738,0.743,0.745,0.746,0.748,0.749,0.751,0.752,0.754
BOL,Bolivia,"Gross domestic product, constant prices",National currency,Billions,,22.356,22.733,23.298,23.929,24.928,26.03,27.279,28.524,30.278,31.294,32.586,34.272,36.046,38.497,40.46,42.483,44.607,46.838,49.18,51.639
BOL,Bolivia,"Inflation, average consumer prices",Index,,,75.638,76.845,77.554,80.143,83.699,88.218,92.012,98.136,111.883,115.628,118.52,130.233,136.118,143.925,153.772,161.899,170.223,178.754,187.712,197.119
BOL,Bolivia,Unemployment rate,Percent of total labor force,,,n/a,8.5,8.69,8.71,9.29,8.15,7.99,7.67,6.69,6.83,6.5,6.5,6.426,6.353,6.28,6.209,6.138,6.068,5.999,5.93
BOL,Bolivia,Population,Persons,Millions,,8.428,8.624,8.824,9.025,9.227,9.427,9.627,9.828,10.028,10.227,10.426,10.629,10.831,11.037,11.246,11.46,11.678,11.9,12.126,12.356
BIH,Bosnia and Herzegovina,"Gross domestic product, constant prices",National currency,Billions,,17.395,17.806,18.706,19.428,20.643,21.442,22.662,24.017,25.36,24.671,24.879,25.117,24.813,25.111,25.613,26.433,27.411,28.507,29.648,30.834
BIH,Bosnia and Herzegovina,"Inflation, average consumer prices",Index,,,104.973,109.773,110.117,110.719,111.031,115.009,122.056,123.877,133.087,132.58,135.395,140.37,143.247,143.114,144.688,146.859,149.502,152.492,155.694,158.964
BIH,Bosnia and Herzegovina,Unemployment rate,Percent of total labor force,,,31.096,31.096,31.096,31.096,31.096,31.096,31.096,29.013,23.408,24.068,27.202,27.6,28,27,25.5,24.5,23.5,23,22.5,22
BIH,Bosnia and Herzegovina,Population,Persons,Millions,,3.781,3.798,3.828,3.858,3.889,3.919,3.92,3.916,3.911,3.904,3.897,3.89,3.884,3.878,3.871,3.863,3.854,3.845,3.837,3.828
BWA,Botswana,"Gross domestic product, constant prices",National currency,Billions,,45.655,45.77,48.548,50.793,52.167,54.545,58.886,63.999,66.496,61.282,66.548,70.61,73.56,76.457,79.595,83.088,86.481,89.965,93.552,97.092
BWA,Botswana,"Inflation, average consumer prices",Index,,,100,106.565,115.119,125.692,134.475,146.054,162.928,174.459,196.481,212.412,227.174,246.402,264.963,280.233,290.882,300.772,310.547,320.485,330.74,341.324
BWA,Botswana,Population,Persons,Millions,,1.758,1.784,1.808,1.83,1.852,1.876,1.901,1.928,1.955,1.982,2.007,2.031,2.055,2.079,2.104,2.129,2.154,2.18,2.205,2.232
BRA,Brazil,"Gross domestic product, constant prices",National currency,Billions,,779.486,789.735,810.711,820.009,866.862,894.225,929.593,986.257,"1,037.24","1,033.84","1,111.72","1,142.10","1,153.88","1,180.24","1,201.76","1,233.62","1,270.68","1,310.65","1,354.45","1,402.05"
BRA,Brazil,"Inflation, average consumer prices",Index,,,"10,780,490,489,263.20","11,517,926,859,177.90","12,491,189,222,130.40","14,329,200,077,485.90","15,274,640,629,719.80","16,324,036,146,421.70","17,006,987,205,724.10","17,626,272,098,499.10","18,627,144,404,695.50","19,537,658,456,154.20","20,522,171,165,156.50","21,884,097,039,589.60","23,066,633,284,567.20","24,497,737,755,913.30","25,948,407,726,783.00","27,387,065,940,245.10","28,838,046,628,467.80","30,323,849,083,904.20","31,839,747,330,110.60","33,351,881,617,195.60"
BRA,Brazil,Unemployment rate,Percent of total labor force,,,7.1,11.265,11.683,12.317,11.475,9.833,9.983,9.275,7.892,8.083,6.742,5.983,5.483,5.383,5.6,5.8,6,6,6.5,6.5
BRA,Brazil,Population,Persons,Millions,,171.28,173.808,176.304,178.741,181.106,183.383,185.564,187.642,189.613,191.481,193.253,194.947,196.526,198.292,200.004,201.663,203.272,204.83,206.335,207.787
BRN,Brunei Darussalam,"Gross domestic product, constant prices",National currency,Billions,,10.346,10.63,11.042,11.362,11.419,11.464,11.968,11.986,11.754,11.546,11.846,12.253,12.369,12.216,12.873,13.261,13.757,14.516,15.335,15.87
BRN,Brunei Darussalam,"Inflation, average consumer prices",Index,,,95.138,95.711,93.522,93.802,94.644,95.673,95.82,96.746,98.763,99.793,100.008,100.15,100.258,100.642,101.145,101.671,102.22,102.792,103.409,104.029
BRN,Brunei Darussalam,Unemployment rate,Percent of total labor force,,,4.72,7.196,3.463,4.468,3.5,4.1,4,3.4,3.7,3.5,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
BRN,Brunei Darussalam,Population,Persons,Millions,,0.325,0.333,0.34,0.346,0.352,0.359,0.365,0.37,0.375,0.38,0.387,0.393,0.4,0.406,0.412,0.419,0.426,0.433,0.439,0.446
BGR,Bulgaria,"Gross domestic product, constant prices",National currency,Billions,,34.837,36.284,37.971,40.061,42.765,45.484,48.445,51.569,54.761,51.762,51.966,52.922,53.233,53.691,54.55,55.914,57.591,59.319,61.099,62.932
BGR,Bulgaria,"Inflation, average consumer prices",Index,,,76.411,82.038,86.803,88.841,94.303,100,107.418,115.55,129.358,132.557,136.581,141.21,144.583,145.137,144.569,145.918,148.528,151.795,155.135,158.548
BGR,Bulgaria,Unemployment rate,Percent of total labor force,,,18.134,17.514,17.416,13.857,12.192,10.177,9.022,6.935,5.664,6.878,10.306,11.35,12.379,13.039,12.5,11.89,11.28,10.67,10.06,9.45
BGR,Bulgaria,Population,Persons,Millions,,8.15,7.891,7.846,7.801,7.761,7.719,7.679,7.64,7.607,7.564,7.505,7.327,7.282,7.238,7.202,7.166,7.13,7.095,7.059,7.024
BFA,Burkina Faso,"Gross domestic product, constant prices",National currency,Billions,,"1,889.90","2,014.80","2,102.50","2,266.70","2,368.20","2,573.40","2,734.30","2,846.40","3,011.80","3,101.00","3,362.86","3,530.06","3,847.37","4,108.48","4,356.34","4,663.14","4,990.59","5,339.28","5,711.00","6,109.21"
BFA,Burkina Faso,"Inflation, average consumer prices",Index,,,75.097,78.639,80.448,82.09,81.76,87.002,89.048,88.826,98.306,100.864,100.25,103.032,106.964,109.104,111.286,113.511,115.782,118.097,120.459,122.868
BFA,Burkina Faso,Population,Persons,Millions,,11.6,11.9,12.3,12.7,13,13.4,13.8,14.2,14.7,15.1,15.5,16,16.5,16.8,17.2,17.6,18,18.4,18.9,19.3
BDI,Burundi,"Gross domestic product, constant prices",National currency,Billions,,"1,046.26","1,063.69","1,088.72","1,115.61","1,157.64","1,208.24","1,273.66","1,317.48","1,382.13","1,434.69","1,507.18","1,570.33","1,633.43","1,706.48","1,787.31","1,873.03","1,966.79","2,068.87","2,180.52","2,297.31"
BDI,Burundi,"Inflation, average consumer prices",Index,,,384.545,397.587,413.69,457.891,511.782,517.905,564.991,646.439,814.306,851.952,886.8,"1,018.86","1,141.00","1,241.83","1,315.70","1,395.22","1,465.57","1,538.34","1,615.70","1,688.83"
BDI,Burundi,Population,Persons,Millions,,6.426,6.75,7,7.2,7.344,7.491,7.641,7.794,7.981,8.172,8.368,8.569,8.775,8.985,9.201,9.422,9.648,9.879,10.117,10.359
CPV,Cabo Verde,"Gross domestic product, constant prices",National currency,Billions,,76.739,81.449,85.752,92.185,96.727,102.347,111.679,121.974,130.086,128.433,130.317,135.489,136.844,137.518,141.653,146.603,152.52,158.605,164.91,171.526
CPV,Cabo Verde,"Inflation, average consumer prices",Index,,,100,103.656,105.633,106.876,104.853,105.309,110.408,115.26,123.14,124.358,126.943,132.622,135.995,138.052,140.461,143.27,146.136,149.059,152.04,155.081
CPV,Cabo Verde,Unemployment rate,Percent of total labor force,,,n/a,n/a,20.5,20,19.5,21.4,13.4,15.2,13,13,10.7,12.2,16.8,17,12,10,9,9,8.5,8.5
CPV,Cabo Verde,Population,Persons,Millions,,0.442,0.451,0.459,0.467,0.474,0.479,0.482,0.484,0.485,0.486,0.488,0.491,0.494,0.5,0.506,0.512,0.519,0.525,0.531,0.537
KHM,Cambodia,"Gross domestic product, constant prices",National currency,Billions,,"14,082.64","15,230.15","16,232.13","17,612.82","19,434.07","22,009.11","24,379.73","26,869.52","28,667.52","28,692.37","30,441.78","32,596.89","34,973.73","37,427.23","40,137.62","43,074.89","46,214.77","49,698.51","53,405.36","57,402.16"
KHM,Cambodia,"Inflation, average consumer prices",Index,,,82.883,82.786,82.756,83.606,86.887,92.404,98.08,105.601,131.999,131.124,136.365,143.835,148.042,152.414,158.272,163.411,168.38,173.501,178.706,184.068
KHM,Cambodia,Population,Persons,Millions,,12.68,12.889,13.104,13.326,13.55,13.828,14.163,14.324,14.562,14.805,14.953,15.103,15.254,15.407,15.561,15.716,15.873,16.032,16.192,16.354
CMR,Cameroon,"Gross domestic product, constant prices",National currency,Billions,,"6,612.39","6,910.89","7,187.95","7,477.69","7,754.51","7,932.60","8,188.20","8,420.75","8,726.19","8,889.23","9,186.44","9,563.28","10,001.18","10,466.09","10,964.90","11,519.25","12,121.29","12,765.02","13,452.85","14,172.71"
CMR,Cameroon,"Inflation, average consumer prices",Index,,,167.408,174.858,179.783,180.917,181.369,184.983,194.058,196.242,206.717,213,215.725,222.067,227.357,232.018,237.819,243.764,249.858,256.105,262.507,269.07
CMR,Cameroon,Population,Persons,Millions,,15.541,15.976,16.423,16.883,17.356,17.842,18.341,18.855,19.383,19.926,20.424,20.934,21.458,21.994,22.544,23.108,23.685,24.277,24.884,25.506
CAN,Canada,"Gross domestic product, constant prices",National currency,Billions,,"1,319.44","1,341.71","1,379.31","1,405.86","1,449.99","1,495.85","1,535.07","1,565.90","1,584.31","1,541.35","1,593.36","1,633.64","1,661.56","1,694.94","1,733.92","1,774.93","1,816.68","1,857.04","1,895.92","1,934.43"
CAN,Canada,"Inflation, average consumer prices",Index,,,95.383,97.775,100,102.742,104.633,106.967,109.125,111.45,114.108,114.45,116.475,119.842,121.667,122.833,124.632,126.997,129.554,132.152,134.826,137.554
CAN,Canada,Unemployment rate,Percent of total labor force,,,6.833,7.267,7.667,7.583,7.175,6.758,6.3,6.058,6.15,8.292,7.992,7.442,7.308,7.083,7.027,6.937,6.842,6.719,6.6,6.55
CAN,Canada,Employment,Persons,Millions,,14.766,14.939,15.296,15.659,15.927,16.128,16.412,16.803,17.082,16.816,17.046,17.308,17.509,17.73,17.92,18.125,n/a,n/a,n/a,n/a
CAN,Canada,Population,Persons,Millions,,30.647,30.972,31.309,31.602,31.899,32.203,32.529,32.848,33.199,33.581,33.959,34.303,34.702,35.105,35.494,35.855,36.21,36.554,36.901,37.252
CAF,Central African Republic,"Gross domestic product, constant prices",National currency,Billions,,715.214,718.048,719.974,670.773,688.427,705.415,739.072,773.125,789.006,802.492,826.941,854.236,889.369,568.777,577.096,607.683,642.32,678.933,718.311,759.29
CAF,Central African Republic,"Inflation, average consumer prices",Index,,,100,103.843,106.229,110.853,108.366,111.493,118.956,120.069,131.19,135.811,137.835,139.482,147.675,157.352,164.381,171.31,174.804,177.875,181.401,184.994
CAF,Central African Republic,Population,Persons,Millions,,3.638,3.704,3.767,3.83,3.894,3.961,4.032,4.107,4.185,4.266,4.35,4.435,4.522,4.611,4.701,4.794,4.888,4.983,5.081,5.181
